id,nome,settore_di_mercato,descrizione,finanziamenti,numero_investitori,valore_startup,valore_mercato_totale,numero_brevetti,numero_prodotti_attivi,stage,media_fatturato,tasso_di_crescita_dip,anni_di_attività,anno_creazione,città,stato,continente,budget_formazione,nuova_tecnologia,tipo_di_miglioramento_tecnologia,incremento_tec,numero_operatori,dip_ingegneri,dip_business,dip_vendite,dip_design,dip_informatica,dip_amministrativo,dip_controllo_qualità,dip_ricerca,dip_risorseumane,dip_assistenza,concorrente,fatturato_conc(B)
86,Tome,tech,Tome e' uno strumento che aiuta gli utenti a trasformare idee in narrazioni visivamente accattivanti,107M,10,300M,12B,4,10,seed,11.9M,+49%,4,2020,San Francisco,California,North America,200K,Abilita una gestione delle identita  e degli accessi piu efficiente e sicura,errori,-75%,5,30,11,4,7,3,2,0,0,3,2,Udemy,0.7B
87,Helsing,tech,Helsing e' un'azienda di difesa AI specializzata nella creazione di soluzioni e componenti militari alimentati,341M,6,1.6B,122B,5,28,series,37.5M,+33%,3,2021,MaÂ¼nchen,Germany,Europe,590K,tecnologia accessibile per creatori e sviluppatori,costi,-90%,14,121,42,0,17,10,0,4,11,0,2,Mind Foundry,0.02B
88,Captions,tech,Captions e' il tuo Studio Creativo potenziato dall'IA,9M,17,250M,27B,4,43,series,9M,+45%,3,2021,Boston,Massachusetts,North America,175K,creazione di gruppi piu efficenti,vendite,+92%,10,18,28,0,5,3,0,2,6,0,6,GoTranscript,0.04B
89,keyfactor,tech,Keyfactor offre soluzioni di gestione dell'identita  digitale sicure,213M,4,1.3B,182B,3,30,series,84.2M,+7%,23,2001,Independence,Ohio,North America,1M,esperienza sicura e senza interruzioni,sicurezza,+90%,28,142,54,82,44,8,0,0,16,22,10,Cloudflare,15B
90,Raspberry Pi,tech,Raspberry Pi e' un'azienda produttrice di computer che offre soluzioni hardware e software per case e aziende,45M,1,500M,12B,4,55,series,19.2M,+36%,10,2014,Cambridge,United Kingdom,Europe,324K,rende lo sviluppo piu veloce ed efficente,costi,-80%,13,52,18,16,13,4,0,0,2,0,3,Orange Pi,0.01B
91,axios hq,tech,Axios HQ e' un software di comunicazione alimentato dall'intelligenza artificiale che aiuta le organizzazioni nella gestione dei sistemi informativi,20M,3,100M,1.2B,5,25,series,21.7M,+31%,2,2022,Arlington,Virginia,North America,341K,rimozione sfondo automatica,tempi,-90%,9,25,55,13,7,5,5,0,0,8,8,Centric Software,0.26B
92,biocatch,tech,BioCatch fornisce informazioni utili per creare un mondo digitale in cui identita  fiducia e facilita  coesistono,21161M,20,1B,122B,71,31,series,87.8M,+34%,13,2011,Tel Aviv,Israel,Asia,803K,Attribuzione automatizzata del marketing,inefficenza,-80%,12,103,52,45,0,65,8,0,12,9,8,Incognia,0.11B
93,wirepas,tech,L'azienda offre una suite di connettivita  e una tecnologia di rete mesh 5G che forniscono soluzioni di connettivita  affidabili e scalabili per implementazioni massicce di IoT,58.19M,10,200M,300B,94,42,series,30M,+12%,14,201,Tampere,Finland,Europe,205K,raccolta frutta automatizzata,velocita ,+90%,13,26,13,7,0,8,4,8,3,4,2,Senet,0.04B
94,PhotoRoom,tech,Photoroom e' un'applicazione che consente agli utenti di creare immagini di prodotti di qualita  da studio in pochi secondi,64M,13,500M,45B,6,33,series,43.2M,+251%,5,2019, Aulnay-sous-Bois,France,Europe,655K,accesso alle risorse piu facilmente,sicurezza,+85%,5,31,26,12,169,9,9,0,0,5,7,Perfect pic,0.01B
95,Watershed,tech,Watershed e' utilizzata dalle aziende per valutare segnalare e affrontare le loro emissioni di carbonio,239M,8,700M,647B,8,24,series,77.2M,+55%,5,2019,San Francisco,California,North America,1M,decisioni aziendali piu accurate,tempi,-90%,48,85,40,60,13,38,13,0,0,20,41,WattCarbon,0.01B
96,Mechanical Orchard,tech,Mechanical Orchard e' una societa  tecnologica nativa di GenAI che modernizza le applicazioni datate senza interrompere il loro funzionamento,24M,6,95M,925M,7,4,series,11.5M,+141%,2,2022,San Francisco,California,North America,194K,aumento risoluzione e qualita  dei video,tempi,-90%,4,44,15,7,4,5,2,0,3,0,3,TSR Solutions,0.01B
97,Silverfort,tech,Silverfort e' un'azienda unificata di protezione dell'identita  che offre autenticazione protezione degli account di servizio e rilevamento delle minacce all'identita ,222M,12,1B,15B,10,24,series,82M,+41%,8,2016,Tel Aviv,Israel,Asia,753K,connessione sicura al cloud,costi,-85%,24,65,31,104,0,46,11,6,0,15,34,Okta,16B
98,Pigment,tech,Pigment e' una piattaforma di previsione aziendale che gestisce la strategia aziendale in tempo reale,396.4M,14,1B,925B,11,27,series,77.3M,+74%,5,2019,Paris,France,Europe,994K,decisioni aziendali piu accurate,tempi,-90%,44,86,59,89,9,31,5,0,0,17,12,SAP Analytics Cloud,0.05B
99,Luma Ai,tech,Luma AI e' una startup di intelligenza artificiale generativa che consente agli utenti di trasformare descrizioni testuali in modelli 3D corrispondenti,67M,11,300M,272B,6,24,series,5.4M,+159%,3,2021,San Francisco,California,North America,103K,aumento risoluzione e qualita'  dei video,tempi,-90%,2,13,6,0,3,2,3,0,2,2,0,ETA,0.05B
100,Cato Networks,tech,Cato Networks e' un fornitore di una piattaforma SASE che offre una connessione di rete aziendale sicura a localita' persone e dati,750M,13,3B,35B,2,42,series,273.6M,+30%,9,2015,Tel Aviv,Israel,Asia,2.2M,connessione sicura al cloud,costi,-85%,57,251,56,282,10,177,12,19,10,34,7,Versa Networks,0.7B
101,dtexsystem,tech,DTEX è un'azienda specializzata nella gestione del rischio interno nel settore della cybersecurity,107M,5,400M,100B,7,34,series,20M,38%,22,2002,Saratoga,California,North America,120K,invisibilità digitale,sicurezza,+15%,4,50,20,31,0,41,0,0,0,3,5,varonis,0.35B
102,unstructured.io,tech,si specializza nell'estrazione dei dati e la loro trasformazione per l'uso nel settore tecnologico,65M,17,230M,17B,15,5,series,7.7M,+175%,2,2022,Rocklin,California,North America,115K,conoscenza grafica tramite ai,efficienza,+10%,3,37,13,5,1,13,1,0,1,1,0,alterix,0.5
103,mitiga,tech,offre soluzioni cloud per la sicurezza e la gestione,52M,9,100M,12B,10,56,series,17.7M,+16%,5,2019,Tel Aviv,Israel,Asia,45K,risposta proattiva agli attacchi al cloud,sicurezza,+15%,9,11,16,4,3,26,3,0,3,0,0,crowdstrike,1.3
104,Crowdstrike,tech,sviluppa piattaforme cloud per proteggere le aziende dai rischi,481M,9,40B,30B,20,60,series,1.3B,+8%,13,2011,Sunnyvale,California,North America,5M,Falcon complete XDR,sicurezza,+15%,440,2223,1117,2523,176,1498,139,0,120,284,294,Palo Alto Networks,4.6
105,rebellions,tech,sviluppa chip intelligenti tramite ia,234M,26,658M,600B,15,11,series,8.5M,+86%,4,2020,Seoul,South Korea,Asia,89K,chip intelligenti,efficienza,+15%,4,56,7,0,3,8,1,4,2,4,1,nvidia,24
106,wasabi,tech,fornisce agli utenti uno spazio sul cloud,38.5M,20,546M,80B,20,38,series,38.5M,+28%,9,2015,Boston,Massachussets,North America,85K,storage a basso costo e alta velocità,efficienza,+20%,32,126,61,100,14,52,12,5,6,16,10,Alibaba,0.5
107,hume,tech,hume si concentra sullo sviluppo di un AI che individua le emozioni,69M,11,219M,40B,12,30,series,8.5M,+44%,3,2021,New York,New York,North America,45K,modello riconoscimento emozioni,efficienza,+15%,3,29,6,2,3,3,2,2,0,2,0,affectiva,0.010
108,op3n,tech,op3n è una piattaforma digitale specializzata in regali personalizzati realizzati da AI,38M,25,100M,30B,10,50,series,3.8M,+9%,3,2021,Los Angeles,California,North America,20K,regali intelligenti,soddisfazione,+10%,6,4,8,4,7,2,3,0,2,6,0,OpenSea,0.2
109,veza,tech,fornisce una piattaforma dati sicura,121M,19,500M,20B,23,15,series,44.3M,+27%,4,2020,Los gatos,California,North America,45K,gestione autorizzazioni,sicurezza,+20%,17,70,36,34,11,15,6,0,3,7,3,okta,1.1
110,the browser company,tech,opera nello sviluppo software per le pagine web,73M,7,500M,30B,15,52,series,11M,+29%,5,2019,New York,New York,North America,43K,interfaccia utente innovativa,soddisfazione,+12%,9,53,10,0,6,8,3,0,2,6,2,Mozilla,0.5
111,anrok,tech,gestione e ottimizzazione dei pagamenti e delle transazioni nel contesto del software e dei servizi,54M,9,250M,170B,12,23,series,7.7M,+57%,4,2020,San Francisco,California,North America,31K,nuova gestione pagamenti e fatturazione,efficienza,+15%,10,21,6,14,0,5,2,0,0,3,2,stripe,1.8
112,baseten,tech,fornisce infrastruttura per distribuire modelli di AI,60M,23,200M,20B,12,30,series,3.5M,+39%,5,2019,San Francisco,California,North America,13K,piattaforma unificata,efficienza,+14%,0,23,7,4,1,6,4,0,0,0,0,datarobot,0.2
113,carbyne,tech,carbyne fornisce tecnologie sicure per infrastrutture di emergenza,122M,21,400M,200B,17,10,series,28M,+12%,10,2014,New York,New York,North America,32K,piattaforma di video sicurezza,sicurezza,+30%,18,55,28,35,9,27,6,8,0,8,13,symantec,0.2
114,celestial ai,tech,specializzata in tecnologie avanzate di AI ottica,338M,16,1B,300B,42,20,series,14.3M,+32%,4,2020,Santa Clara,California,North America,45K,AI neurale ottica,prestazioni,+20%,4,58,15,2,12,16,4,2,0,3,0,nvidia,24
115,drata,tech,fornisce soluzioni di gestione della conformità e della sicurezza basate su cloud,328M,16,2B,150B,38,15,series,158M,+31%,4,2020,San Diego,California,North America,320K,gestione automatizzata della conformità,sicurezza,+18%,58,169,70,139,15,60,12,18,10,23,58,vanta,0.1
116,peroptyx,tech,fornire dati per machine learning,4M,3,5M,6B,13,12,seed,43.3M,+569%,6,2018,Castlebar,Ireland,Europe,20K,crowdsourcing,efficienza,+20%,34,31,24,11,10,264,9,8,6,5,10,appen,4B
117,vanta,tech,vanta è un piattaforma per la sicurezza,203M,19,1.4B,200B,15,28,series,100M,+33%,7,2017,San Francisco,California,North America,80K,gestione automatizzata della conformità,sicurezza,+25%,46,133,70,165,33,43,9,5,7,31,53,Secureframe,0.025
118,material security,tech,specializzato nella sicurezza sull'email del cloud,155,9,18.9M,200B,18,29,series,18.9M,+81%,7,2017,Redwood,California,North America,45K,protezione post-intrusione,sicurezza,+20%,4,47,18,17,4,12,2,1,2,3,7,vanta,0.1
119,helm.ai,tech,sviluppo di tecnologie robotiche e autonome,124M,36,431M,50B,30,28,series,13M,+48%,8,2016,Silicon Valley,California,North America,50K,guida autonoma,soddisfazione,+20%,7,52,12,0,3,14,3,0,2,8,0,waymo,1.4
120,upstack,tech,si specializza in trasformazioni digitali e tecnologiche,52M,4,400M,300B,15,26,series,24M,+20%,7,2017,New York,New York,North America,23K,piattaforma gestione cloud,efficienza,+15%,0,10,45,24,0,28,4,0,0,7,46,rackspace,3B
121,rackspace,tech,offre soluzioni multiple per cloud,36M,8,2.7B,300B,20,45,series,3B,-2%,26,1998,San Antonio,Texas,North America,112K,gestione sicura cloud,efficienza,+15%,701,1738,498,597,187,2615,29,50,30,167,559,accenture,54B
122,stability ai,tech,azienda che sviluppa AI,126M,17,1B,500B,26,40,series,33M,+45%,4,2020,London,United Kingdom,Europe,80K,diffusione immagini,efficienza,+25%,11,44,36,22,5,3,13,2,0,0,0,Hugging face,0.085
123,axonius,tech,specializzata in cybersecurity e soluzioni di gestione SaaS,595M,19,2.6B,250B,15,23,series,160M,+31%,7,2017,New York,New York,North America,48K,gestione e visibilità endpoint,sicurezza,+10%,33,160,60,191,14,96,15,0,5,33,0,tanium,0.6
124,bluevoyant,tech,offre una piattaforma di cybersecurity,140M,9,1B,225B,23,36,series,168M,+2%,7,2017,New York,New York,North America,92K,piattaforma del rischio di terze parti,sicurezza,+20%,43,123,104,73,0,204,14,0,10,14,50,crowdstrike,1.3B
125,prezent.ai,tech,offre una piattaforma che aiuta gli utenti a creare presentazioni,24M,6,100M,500B,17,32,series,29.3M,+61%,3,2021,Los Altos,California,North America,25K,automazione creazione presentazioni,tempi,-30%,18,32,30,13,21,22,5,5,2,4,11,canva,0.4
126,pano,tech,crea strumenti per monitoraggio delle foreste,45M,12,90M,500B,18,27,series,14M,+59%,7,2017,San Francisco,California,North America,25K,monitoraggio foreste,sicurezza,+25%,22,17,25,9,2,17,5,0,0,2,8,dedrone,0.03
201,klaviyo,tech,crea email e SMS semplici per publicizzare i brands,778M,16,9.2B,11B,15,18,series,465M,+36%,12,2012,Boston,Massachussets,North America,34K,piattaforma per raccogliere dati business utenti,efficienza,+15%,111,534,257,569,101,174,5,0,0,170,255,mailchimp,0.344
127,weka.io,tech,fornisce software per gestione dati in cloud,373M,27,750M,30B,14,23,series,72M,+16%,11,2013,Campbell,California,North America,30K,archiviazione dati ad alte prestazioni,efficienza,+20%,35,131,42,117,10,72,5,19,5,19,20,netapp,6
128,netapp,tech,costruisce un infrastruttura per i dati,800M,57000,21B,30B,15,27,series,6B,-5%,32,1992,San Jose,California,North America,230K,storage ad alte prestazioni,efficienza,+20%,887,4730,1250,2127,200,2691,260,219,274,314,1004,dell,26B
129,claroty,tech,protegge sistemi cyber fisici di molti settori,732M,32,225B,1B,13,34,series,144M,+52%,9,2015,New York,New York,North America,90K,risposta avanzata per reti operational tecnology,sicurezza,+15%,46,150,64,110,10,119,10,0,15,19,38,dragos,0.1
130,fleet device manager,tech,software open source gestione dei device,25M,8,100M,225B,23,29,series,10.6M,+36%,4,2020,San Francisco,California,North America,70K,gestione centralizzata dispositivi,efficienza,+15%,46,150,64,110,5,119,10,5,15,19,38,PTC,1.1
131,hayden ai,tech,offre un AI per aiutare i giudici,174M,17,450M,500B,15,12,series,17.2M,+29%,5,2019,San Francisco,California,North America,42K,sistema di monitoraggio traffico,efficienza,+30%,21,53,29,0,0,26,7,7,3,7,0,cubic,0.864
132,cymulate,tech,specializzata in sicurezza e gestione della cybersecurity,141M,6,500M,250B,15,27,series,32M,+6%,8,2016,Tel Aviv,Israel,Asia,50K,simulazione di attacchi,tempi,-20%,22,40,24,46,5,48,6,6,10,9,28,attackiq,0.03
133,sendblocks,tech,specializzata in blockchain e semplificazioni nel settore tecnologico,8.2M,5,20M,50B,14,23,seed,2M,+20%,1,2024,Tel Aviv,Israel,Asia,12K,blockchain per storage dati,sicurezza,+15%,0,4,5,0,0,4,2,0,0,0,0,blockstream,0.016
134,aidash,tech,offre sistemi di intelligenza artificiale per gestire rischi climatici,101.5M,11,400M,500B,15,19,series,67M,+6%,5,2019,San Jose,California,North America,79K,AI per l'agricoltura,costi,-20%,8,118,39,29,10,96,11,0,48,13,14,0.01
135,sima.ai,tech,AI per il mercato azionario,260M,14,500M,500B,28,12,series,29.1M,+22%,6,2018,San Jose,California,North America,30K,machine learning su chip,efficienza energetica,+15%,8,110,18,11,11,23,4,6,0,4,4,nvidia,24
136,anyscale,tech,sviluppa software AI,259M,10,1B,500B,13,25,series,60M,+193%,5,2019,San Francisco,California,North America,35K,framework di calcolo distribuito,crescita,+20%,38,77,14,33,15,21,31,0,4,13,9,databricks,1.8
137,classdojo,tech,educa attraverso la tecnologia,221M,35,1.3B,254B,15,20,series,57M,+14%,13,2011,San Francisco,California,North America,45K,connettere insegnanti e genitori,efficienza,+14%,27,82,34,25,25,30,7,0,0,16,28,seesaw,0.05
138,jasper,tech,piattaforma di creazione di contenuti con ai,125M,12,1.5B,500B,12,23,series,159M,+76%,4,2020,Austin,Texas,North America,100K,generazione testo avanzata,tempi,-20%,113,127,101,107,28,46,36,0,10,27,49,copy.ai,0.015
139,traceable,tech,fa applicazione di sicurezza nel settore tecnologico,110M,9,450M,225B,23,16,series,36.8M,+24%,6,2018,San Francisco,California,North America,57K,intelligenza artificiale per migliorare osservabilità,soddisfazione,+15%,11,109,30,47,5,15,5,0,5,3,5,datadog,0.88
140,honeycomb.io,tech,è una piattaforma che serve per ricevere insight in servizi distribuiti,146M,19,700M,5B,15,24,series,35.7M,+16%,8,2016,San Francisco,California,North America,45K,tracing distribuito,tempi,-20%,17,92,29,37,16,18,4,0,0,11,21,datadog,0.88
141,oxford quantum,tech,sviluppa computer quantici,146.8M,12,1B,65B,18,29,series,14M,+19%,7,2017,Reading,United Kingdom,Europe,70K,computer quantistici,efficienza,+15%,12,60,9,0,2,13,6,0,9,5,2,IBM,3.5B
142,zeroeyes,tech,fornisce soluzioni di monitoraggio e sicurezza,106M,15,800M,250B,18,27,series,23.4M,+18%,6,2018,Conshohocken,Pennsylvania,North America,65K,rilevamento armi da fuoco,sicurezza,+20%,29,42,41,24,6,41,6,5,5,5,0,0.015
143,streamlit,tech,fornisce un tool che trasforma li script in applicazioni web velocemente,62M,10,800M,500B,25,30,series,12.6M,+88%,6,2018,San Francisco,California,North America,45K,integrazione componenti personalizzati,efficienza,+18%,7,20,8,2,0,8,3,0,3,0,0,0.014
144,lumu technologies,tech,aiuta ad individuare minacce alla sicurezza,53.5M,9,750M,225B,21,34,series,28.4M,+15%,5,2019,Doral,Florida,North America,26K,analizza continuamente il traffico,sicurezza,+17%,5,26,21,32,8,14,2,0,0,2,18,zeroeyes,0.018
145,zluri,tech,fornisce una piattaforma per il SaaS,32M,5,400M,40B,17,23,series,44M,+97%,4,2020,Milpitas,California,North America,34K,gestione avanzata licenze,costi,-15%,27,73,26,55,9,14,14,0,5,11,17,Torii,0.016
146,chainguard,tech,crea software potenti di difesa,256M,18,1.1B,225B,34,21,series,25.2M,+100%,3,2021,Kirkland,Washington,North America,60K,protezione dei container,sicurezza,+20%,9,51,21,51,2,21,4,0,8,13,10,aqua security,0.2
147,kumo.ai,tech,piattaforma AI specializzata in analisi predittive e machine learning,36.5M,18,100M,500B,14,24,series,6.9M,+30%,3,2021,Mountain View,California,North America,35K,software per analisi predittive,tempi,-13%,0,34,12,8,2,3,2,0,6,3,0,OpenAi,11B
148,pulley,tech,usa una piattaforma di gestione per la raccolta fondi,54.9M,19,200M,20B,10,35,series,11.7M,+4%,5,2019,Oakland,California,North America,35K,Gestione Automatica delle Stock Options,efficienza,+28%,6,25,6,13,5,10,4,0,2,4,8,carta,0.3
149,observe,tech,fornisce piattaforma cloud per analizzare i dati,270M,7,1B,20B,14,35,series,33.7M,+32%,7,2017,San Mateo,California,North America,32K,piattaforma per monitorare analizzare operazioni,soddisfazione,+15%,11,71,26,60,8,23,5,0,5,0,0,datadog,0.88
150,headfone,tech,offre una piattaforma di audi,14M,9,45M,100B,23,21,series,18M,+326%,6,2018,Bangalore,India,Asia,10K,piattaforma audio,soddisfazione,+8%,15,16,16,4,106,4,8,0,0,14,3,zoom,3.9B
151,jar,tech,aiuta gli utenti a risparmiare denaro,61M,27,200M,300B,25,34,series,50M,+89%,3,2021,Bangalore,India,Asia,35K,automazione del risparmio,efficienza,+15%,59,115,48,45,38,35,23,0,29,22,22,corns,0.08
152,sana labs,tech,sana labs fornisce una piattaforma per l'insegnamento per le organizzazioni,81.5M,15,180M,300B,17,28,series,31M,+52%,8,2016,Stockolm,Sweden,Europe,34K,piattaforma di apprendimento personalizzato,efficienza,+20%,15,20,4,3,8,20,3,0,3,3,10,Knewton,0.008
153,cerby,tech,sviluppa un applicazione per rendere sicure le applicazioni,32.5M,22,200M,225B,25,18,series,21M,+64%,4,2020,Alameda,California,North America,35K,gestione accessi non standard,sicurezza,+15%,7,43,16,9,6,10,5,3,2,5,0,chainguard,0.002
154,twelve labs,tech,specializzata in AI multimodale,77M,19,400M,500B,20,25,series,8M,+133%,3,2021,San Francisco,California,North America,35K,Ai che comprende contenuti,costi,-20%,6,30,15,0,2,6,7,0,3,6,0,0.025
155,logik.io,tech,configurazioni prodotti per vendita online,29M,4,250M,20B,20,15,series,15M,+84%,3,2021,higland park,Illinois,North America,35K,motore configurabile,tempi,-30%,7,36,15,19,2,6,0,5,0,0,5,saleforce,25B
156,lottie,tech,piattaforma che aiuta anziani,32M,8,54M,200B,18,28,series,19M,+39%,3,2021,London,United Kingdom,Europe,23K,ricerche personalizzate,tempi,-15%,15,19,45,16,27,0,5,0,0,5,7,Seniorly,0.004
157,greyparrot,tech,si concentra sulla gestione dei rifiuti con  AI,23M,18,120M,500B,23,17,series,6M,+43%,5,2019,London,United Kingdom,Europe,22K,automazione riciclaggio,costi,-25%,3,14,10,6,0,6,1,0,1,2,0,amp robotics,0.04
158,parkhub,tech,specializzata nella gestione dei parcheggi,113M,9,500M,6B,21,18,series,20.5M,+7%,14,2010,Dallas,Texas,North America,30K,analisi dati real time,tempi,-15%,10,24,14,20,0,9,2,0,0,3,16,parkmobile,0.03
159,aigen,tech,usa l'AI e la robotica nel settore agricolo,19M,7,155M,100B,14,24,series,1.7M,+65%,4,2020,Kirkland,Washington,North America,23K,pagamento avanzato,efficienza,+20%,11,26,16,2,0,4,1,2,0,2,0,Openai,11B
160,concertai,tech,introduce IA nelle cliniche e nel settore healtcare,320M,6,1.9B,500B,18,25,series,75M,+26%,7,2017,Cambridge,Massachussets,North America,40K,piattaforma analisi dati,efficienza,+12%,21,132,125,27,125,336,32,28,107,24,0,Tempus,0.03
161,docker,tech,opera come piattaforma per soluzioni software,433M,8,2B,500B,30,18,series,180M,44%,11,2013,Palo Alto,California,North America,23K,containerizzazione,efficienza,+20%,92,248,86,149,110,19,0,0,0,4,46,Red Hat,4.2B
162,primer ai,tech,sviluppa AI per la sicurezza,233M,15,1B,500B,17,25,series,22M,+1%,9,2015,San Francisco,California,North America,22K,motore che analizza testi,tempi,-14%,19,58,24,17,4,14,5,0,0,6,13,palantir,1B
163,spectrocloud,tech,si basa sull'infrastruttura cloud,71M,11,300M,20B,25,19,series,28M,+23%,5,2019,San Jose,California,North America,34K,piattaforma per multicloud,efficienza,+14%,8,90,22,27,8,11,3,0,0,0,6,Rancher labs,0.02
164,finbourne technologies,tech,specializzato nella gestione delle finanze,127M,12,700M,60B,15,23,series,39M,+18%,8,2016,London,United Kingdom,Europe,23K,piattaforma cloud per gestione dati finanziari,efficienza,+12%,14,124,31,23,8,53,5,0,10,5,16,blackrock,19B
165,sanctuary ai,tech,crea robot umanoidi,92M,19,250M,40B,45,22,series,24M,+16%,6,2018,Vancouver,Canada,North America,21K,Robot Umanoidi con AI,efficienza,+15%,14,93,14,0,4,22,4,7,8,2,0,boston dynamics,0.2
166,uniswap,tech,utilizza blockchain per creare servizi finanziari senza intermezzi centralizzati,178M,14,1.7B,40B,15,35,series,24M,+1%,7,2017,Brooklin,New York,North America,23K,liquidità concentrata,soddisfazione,+10%,10,63,29,0,10,8,3,0,5,13,0,sushiswap,0.06
167,id.me,tech,piattaforma per rendere accesso sicuro a un gruppo,279M,48,1.5B,225B,15,23,series, 285M,+6%,14,2010,Washington,Washington,North America,25K,identity gateway,sicurezza,+12%,158,104,75,59,0,128,106,29,0,52,172,okta,1.1B
168,okta,tech,fornisce soluzioni sicure ad utenti e dipendenti,1.2B,17,31.8B,225B,40,35,series,1.1B,-15%,15,2009,San Francisco,California,North America,34K,cloud per gestione autorizzazioni,sicurezza,+35%,530,1848,811,1655,233,884,229,0,20,295,552,auth0,0.172
169,vedanta bioscience,biotech,sviluppa farmaci per problemi gastrointestinali,355M,39,1.2B,600B,18,35,series,35M,+29%,14,2010,Cambridge,Massachussets,North America,45K,sviluppo prodotti microbiotici,benessere,+18%,19,4,13,3,0,0,7,7,18,44,6,Seres,0.155
170,waterplan,tech,immette acqua sostenibile sul mercato,28M,18,500M,8B,15,24,series,13M,+10%,4,2020,San Francisco,California,North America,35K,analisi e monitoraggio acqua,ottimizzazione,+15%,10,13,11,14,3,8,6,0,6,4,5,aquatic informatics,0.022
171,huntress,tech,fornisce una piattaforma per individuazione e risposta a virus,308M,11,2B,225B,18,29,series,102M,+19%,9,2015,Elicott City,Maryland,North America,34K,piattaforma di rilevamento,sicurezza,+20%,59,67,75,128,25,69,15,0,5,26,24,okta,1.1B
172,gappify,tech,automazione del software del settore delle finanze,17M,11,300M,20B,25,28,series,12M,+8%,8,2016,Oakland,California,North America,20K,Assistente contabile virtuale,tempi,-20%,8,21,13,10,0,7,8,2,0,3,10,blackline,0.5
173,braincheck,tech,si concentra sull'aiuto cognitivo,45M,18,200M,20B,35,20,series,8.3M,+6%,9,2015,Austin,Texas,North America,25K,piattaforma valutazione cognitiva digitale,efficienza,+15%,3,13,17,12,3,7,3,0,12,2,6,cognivue,0.017
174,spot ai,tech,crea video animati con AI,62M,8,180M,500B,15,12,series,21.6M,+5%,6,2018,Los Altos,California,North America,26K,videosorveglianza ai,costi,-10%,7,34,19,43,4,13,5,0,0,5,5,Anduril,8.5B
175,nanonets,tech,AI usata per ottimizzare i processi di business,40M,20,300M,500B,12,25,series,3M,+91%,7,2017,San Francisco,California,North America,15K,modelli di riconoscimento avanzati,efficienza,+10%,16,54,28,28,3,8,8,0,10,9,10,Anduril,8.5B
176,remarkable,tech,sviluppa tablet per leggere e disegnare,24M,3,1B,25B,18,25,series,150M,+11%,11,2013,Oslo,Norway,Europe,35K,tablet multiuso,costi,-15%,64,138,85,21,52,65,3,20,0,23,22,boox,0.016
177,eatron,tech,sviluppa software per la gestione delle batterie nell'automotive,13M,14,100M,500B,15,25,series,13M,+5%,6,2018,Warwick,United Kingdom,Europe,35K,batteria intelligente,costi,-20%,6,44,17,2,0,23,3,0,2,1,0,Anduril,8.5B
178,aiclearing,tech, AI applicata all'industria,17M,7,150M,500B,25,14,series,36.8M,+90%,5,2019,Austin,Texas,North America,20K,piattaforma di monitoraggio costruzione,efficienza,+15%,8,29,10,7,0,27,4,0,2,1,3,Doxel,0.02
179,rewind.ai,tech,crea un AI personalizzata nel settore tecnologico,27M,3,75M,500B,21,15,series,3.5M,+68%,4,2020,Denver,Colorado,North America,34K,AI usata per ritrovare informazioni,tempi,-25%,10,25,5,7,2,15,3,0,0,2,2,Mem.ai,0.002
180,owner.com,tech,piattaforma digitale per i ristoranti,58M,19,120M,15B,25,14,series,13M,+3%,6,2018,Palo Alto,California,North America,22K,newsletter semplice,soddisfazione,+20%,17,14,17,32,4,4,3,0,4,18,8,Toast,1.1B
181,cleerly,tech,azienda digitale specializzata nel trattamento di problemi al cuore,251M,16,850M,1B,15,25,series,25M,+18%,7,2017,New York,New York,North America,34K,software che analizza ischemia,efficienza,+15%,14,23,44,18,12,22,4,0,18,4,0,Heartflow,0.12
182,altana ai,tech,AI applicata a catena di montaggio,322M,19,1.1B,500B,18,25,series,27.5M,+27%,6,2018,Brooklin,New York,North America,24K,mappa della catena di montaggio,efficienza,+15%,22,69,33,21,2,40,5,0,8,6,0,project44,0.1
183,uwill,tech,offre una piattaforma online per studenti e lavoratori terapeutici,39M,4,150M,400B,15,12,series,19M,+55%,4,2020,Natik,Massachussets,North America,23K,piattaforma con terapisti,efficienza,+14%,10,8,48,6,5,3,4,0,0,6,8,mantra health,0.034
184,tavus,tech,crea video con AI per le vendite e marketing,24M,17,100M,500B,15,27,series,4M,+74%,4,2020,Houston,Texas,North America,15K,personalizzazione di video,tempi,+15%,2,16,8,2,2,2,7,1,1,0,1,Synthesia,0.062
185,recogni,tech,si specializza nell'ai applicata all'automotive,176M,15,900M,500B,35,15,series,38M,+22%,7,2017,San Jose,California,North America,22K,analizza i contenuti video in tempo reale,costi,-25%,4,68,17,0,2,9,5,2,0,3,0,nvidia,24
186,rapido,tech,servizio di taxi con bici,510M,48,1.1B,100B,15,22,series,60M,+18%,9,2015,Bangalore,India,Asia,45K,piattaforma taxi sostenibile,costi,-20%,1240,150,193,157,43,109,112,0,0,37,136,uber,25B
187,Eagle eye,tech,sorveglianza online,141M,5,1B,250B,20,13,series,131M,+50%,12,2012,Austin,Texas,North America,35K,piattaforma per sorveglianza onilne,costi,-15%,63,131,44,166,0,101,16,0,0,21,32,genetec,0.3
188,fortanix,tech,offre una piattaforma per rendere sicuri i dati,135M,7,900M,225B,18,28,series,65M,+16%,8,2016,Mountain View,California,North America,26K,protezione dei dati durante l'elaborazione,sicurezza,+15%,20,104,23,43,5,35,10,5,4,12,12,anjuna,0.011
